Date,FilingID,Company,Shares,Value
2015-01-28,2015-01-28_0001104659-15-004817_a15-1379_1485bpos.htm,"Viacom, Inc., Class B",3471070,267064126
2015-01-28,2015-01-28_0001104659-15-004817_a15-1379_1485bpos.htm,"Cognizant Technology Solutions Corp., Class A",5671364,253906966
2015-01-28,2015-01-28_0001104659-15-004817_a15-1379_1485bpos.htm,"NetFlix, Inc.",560564,252915265
2015-01-28,2015-01-28_0001104659-15-004817_a15-1379_1485bpos.htm,"Vertex Pharmaceuticals, Inc.",2221016,249442307
2015-01-28,2015-01-28_0001104659-15-004817_a15-1379_1485bpos.htm,"Applied Materials, Inc.",11366453,245629049
2015-01-28,2015-01-28_0001104659-15-004817_a15-1379_1485bpos.htm,"Intuit, Inc.",2648349,232127790
2015-01-28,2015-01-28_0001104659-15-004817_a15-1379_1485bpos.htm,"Illumina, Inc.",1300415,213164027
2015-01-28,2015-01-28_0001104659-15-004817_a15-1379_1485bpos.htm,Western Digital Corp.,2183103,212459584
2015-01-28,2015-01-28_0001104659-15-004817_a15-1379_1485bpos.htm,SanDisk Corp.,2091877,204899352
2015-01-28,2015-01-28_0001104659-15-004817_a15-1379_1485bpos.htm,"Avago Technologies Ltd., Class A",2348323,204304101
2015-01-28,2015-01-28_0001104659-15-004817_a15-1379_1485bpos.htm,"Broadcom Corp., Class A",5047299,204011826
2015-01-28,2015-01-28_0001104659-15-004817_a15-1379_1485bpos.htm,"Keurig Green Mountain, Inc.",1515214,197174798
2015-01-28,2015-01-28_0001104659-15-004817_a15-1379_1485bpos.htm,Cerner Corp.,3181720,189535060
2015-01-28,2015-01-28_0001104659-15-004817_a15-1379_1485bpos.htm,"Marriott International, Inc., Class A",2710728,189479887
2015-01-28,2015-01-28_0001104659-15-004817_a15-1379_1485bpos.htm,"PACCAR, Inc.",3309668,188237367
2015-01-28,2015-01-28_0001104659-15-004817_a15-1379_1485bpos.htm,"Sirius XM Holdings, Inc.",52913007,184666394
2015-01-28,2015-01-28_0001104659-15-004817_a15-1379_1485bpos.htm,Wynn Resorts Ltd.,945470,176878528
2015-01-28,2015-01-28_0001104659-15-004817_a15-1379_1485bpos.htm,Seagate Technology PLC,3048797,174604604
2015-01-28,2015-01-28_0001104659-15-004817_a15-1379_1485bpos.htm,"Mylan, Inc.",3489529,158738674
2015-01-28,2015-01-28_0001104659-15-004817_a15-1379_1485bpos.htm,"Intuitive Surgical, Inc.",335430,154908283
2015-01-28,2015-01-28_0001104659-15-004817_a15-1379_1485bpos.htm,Vodafone Group PLC ADR,4675712,153784168
2015-01-28,2015-01-28_0001104659-15-004817_a15-1379_1485bpos.htm,"Charter Communications, Inc., Class A",1013538,153419247
2015-01-28,2015-01-28_0001104659-15-004817_a15-1379_1485bpos.htm,NXP Semiconductor NV,2226553,152363022
2015-01-28,2015-01-28_0001104659-15-004817_a15-1379_1485bpos.htm,Symantec Corp.,6441349,151436115
2015-01-28,2015-01-28_0001104659-15-004817_a15-1379_1485bpos.htm,Sigma-Aldrich Corp.,1109939,150962803
2015-01-28,2015-01-28_0001104659-15-004817_a15-1379_1485bpos.htm,"Fiserv, Inc.",2324940,150272497
2015-01-28,2015-01-28_0001104659-15-004817_a15-1379_1485bpos.htm,"Paychex, Inc.",3387397,149722947
2015-01-28,2015-01-28_0001104659-15-004817_a15-1379_1485bpos.htm,"Ross Stores, Inc.",1973912,149188269
2015-01-28,2015-01-28_0001104659-15-004817_a15-1379_1485bpos.htm,"O'reilly Automotive, Inc.",967997,145548029
2015-01-28,2015-01-28_0001104659-15-004817_a15-1379_1485bpos.htm,"Analog Devices, Inc.",2931279,145068998
2015-01-28,2015-01-28_0001104659-15-004817_a15-1379_1485bpos.htm,Monster Beverage Corp.,1559585,142967157
2015-01-28,2015-01-28_0001104659-15-004817_a15-1379_1485bpos.htm,"Activision Blizzard, Inc.",6693418,139156160
2015-01-28,2015-01-28_0001104659-15-004817_a15-1379_1485bpos.htm,"DISH Network Corp., Class A",2073112,133881573
2015-01-28,2015-01-28_0001104659-15-004817_a15-1379_1485bpos.htm,"SBA Communications Corp., Class A",1203523,133470701
2015-01-28,2015-01-28_0001104659-15-004817_a15-1379_1485bpos.htm,"Whole Foods Market, Inc.",3370097,128434397
2015-01-28,2015-01-28_0001104659-15-004817_a15-1379_1485bpos.htm,"NetApp, Inc.",2978384,127951377
2015-01-28,2015-01-28_0001104659-15-004817_a15-1379_1485bpos.htm,Fastenal Co.,2768546,124307715
2015-01-28,2015-01-28_0001104659-15-004817_a15-1379_1485bpos.htm,"Bed Bath & Beyond, Inc.",1884031,124025761
2015-01-28,2015-01-28_0001104659-15-004817_a15-1379_1485bpos.htm,Check Point Software Technologies Ltd.,1779857,123237299
2015-01-28,2015-01-28_0001104659-15-004817_a15-1379_1485bpos.htm,KLA-Tencor Corp.,1542718,121535324
2015-01-28,2015-01-28_0001104659-15-004817_a15-1379_1485bpos.htm,"Liberty Interactive Corp., Class A",4222957,120438734
2015-01-28,2015-01-28_0001104659-15-004817_a15-1379_1485bpos.htm,"Autodesk, Inc.",2125813,117132296
2015-01-28,2015-01-28_0001104659-15-004817_a15-1379_1485bpos.htm,"CA, Inc.",4151983,116006405
2015-01-28,2015-01-28_0001104659-15-004817_a15-1379_1485bpos.htm,VimpelCom Ltd. ADR,15412400,111277528
2015-01-28,2015-01-28_0001104659-15-004817_a15-1379_1485bpos.htm,"Tripadvisor, Inc.",1212662,110861560
2015-01-28,2015-01-28_0001104659-15-004817_a15-1379_1485bpos.htm,"Citrix Systems, Inc.",1534344,109460101
2015-01-28,2015-01-28_0001104659-15-004817_a15-1379_1485bpos.htm,"Dollar Tree, Inc.",1918287,107558352
2015-01-28,2015-01-28_0001104659-15-004817_a15-1379_1485bpos.htm,"Xilinx, Inc.",2504650,106071927
2015-01-28,2015-01-28_0001104659-15-004817_a15-1379_1485bpos.htm,"Equinix, Inc.",496272,105447875
2015-01-28,2015-01-28_0001104659-15-004817_a15-1379_1485bpos.htm,Altera Corp.,2882486,103135349
2015-01-28,2015-01-28_0001104659-15-004817_a15-1379_1485bpos.htm,"Liberty Media Corp., Class C",2133256,100241699
2015-01-28,2015-01-28_0001104659-15-004817_a15-1379_1485bpos.htm,"Akamai Technologies, Inc.",1662083,99392563
2015-01-28,2015-01-28_0001104659-15-004817_a15-1379_1485bpos.htm,Linear Technology Corp.,2225077,98771168
2015-01-28,2015-01-28_0001104659-15-004817_a15-1379_1485bpos.htm,"Mattel, Inc.",3151757,96601352
2015-01-28,2015-01-28_0001104659-15-004817_a15-1379_1485bpos.htm,"Verisk Analytics, Inc., Class A",1553068,94566311
2015-01-28,2015-01-28_0001104659-15-004817_a15-1379_1485bpos.htm,"Expedia, Inc.",1067148,93503508
2015-01-28,2015-01-28_0001104659-15-004817_a15-1379_1485bpos.htm,Garmin Ltd.,1796897,93420675
2015-01-28,2015-01-28_0001104659-15-004817_a15-1379_1485bpos.htm,NVIDIA Corp.,5055537,93274658
2015-01-28,2015-01-28_0001104659-15-004817_a15-1379_1485bpos.htm,"Stericycle, Inc.",791176,92219475
2015-01-28,2015-01-28_0001104659-15-004817_a15-1379_1485bpos.htm,"Henry Schein, Inc.",791387,92172844
2015-01-28,2015-01-28_0001104659-15-004817_a15-1379_1485bpos.htm,"CH Robinson Worldwide, Inc.",1372839,91046682
2015-01-28,2015-01-28_0001104659-15-004817_a15-1379_1485bpos.htm,"Liberty Global PLC, Class A",2004912,85288956
2015-01-28,2015-01-28_0001104659-15-004817_a15-1379_1485bpos.htm,"F5 Networks, Inc.",691140,82065964
2015-01-28,2015-01-28_0001104659-15-004817_a15-1379_1485bpos.htm,Catamaran Corp.,1934984,81559576
2015-01-28,2015-01-28_0001104659-15-004817_a15-1379_1485bpos.htm,"Maxim Integrated Products, Inc.",2648822,80100377
2015-01-28,2015-01-28_0001104659-15-004817_a15-1379_1485bpos.htm,Tractor Supply Co.,1284350,79000368
2015-01-28,2015-01-28_0001104659-15-004817_a15-1379_1485bpos.htm,"Expeditors International of Washington, Inc.",1820112,73860145
2015-01-28,2015-01-28_0001104659-15-004817_a15-1379_1485bpos.htm,"Staples, Inc.",6009758,72718072
2015-01-28,2015-01-28_0001104659-15-004817_a15-1379_1485bpos.htm,"Discovery Communications, Inc., Class C",1406247,52424888
2015-01-28,2015-01-28_0001104659-15-004817_a15-1379_1485bpos.htm,"Discovery Communications, Inc., Class A",1384060,52317468
2015-01-28,2015-01-28_0001104659-15-004817_a15-1379_1485bpos.htm,"Liberty Media Corp., Class A",974535,45978561
2016-01-28,2016-01-28_0001193125-16-441831_d106822d485bpos.htm,"Apple, Inc.",43964856,4849323617
2016-01-28,2016-01-28_0001193125-16-441831_d106822d485bpos.htm,Microsoft Corp.,61660008,2729071954
2016-01-28,2016-01-28_0001193125-16-441831_d106822d485bpos.htm,"Amazon.com, Inc.",3605814,1845780128
2016-01-28,2016-01-28_0001193125-16-441831_d106822d485bpos.htm,"Google, Inc., Class C",2651611,1613293165
2016-01-28,2016-01-28_0001193125-16-441831_d106822d485bpos.htm,"Facebook, Inc., Class A",17421431,1566186647
2016-01-28,2016-01-28_0001193125-16-441831_d106822d485bpos.htm,"Google, Inc., Class A",2234871,1426674600
2016-01-28,2016-01-28_0001193125-16-441831_d106822d485bpos.htm,"Gilead Sciences, Inc.",11314515,1110972228
2016-01-28,2016-01-28_0001193125-16-441831_d106822d485bpos.htm,Intel Corp.,36650780,1104654509
2016-01-28,2016-01-28_0001193125-16-441831_d106822d485bpos.htm,"Cisco Systems, Inc.",39209453,1029248141
2016-01-28,2016-01-28_0001193125-16-441831_d106822d485bpos.htm,"Comcast Corp., Class A",16303941,927368164
2016-01-28,2016-01-28_0001193125-16-441831_d106822d485bpos.htm,"Amgen, Inc.",5845815,808593131
2016-01-28,2016-01-28_0001193125-16-441831_d106822d485bpos.htm,"Walgreens Boots Alliance, Inc.",8420924,699778784
2016-01-28,2016-01-28_0001193125-16-441831_d106822d485bpos.htm,Kraft Heinz Co. (The),9350286,659943186
2016-01-28,2016-01-28_0001193125-16-441831_d106822d485bpos.htm,Celgene Corp.,6094696,659263266
2016-01-28,2016-01-28_0001193125-16-441831_d106822d485bpos.htm,"QUALCOMM, Inc.",12113153,650839711
2016-01-28,2016-01-28_0001193125-16-441831_d106822d485bpos.htm,Starbucks Corp.,11442411,650386641
2016-01-28,2016-01-28_0001193125-16-441831_d106822d485bpos.htm,"Biogen, Inc.",1813091,529078085
2016-01-28,2016-01-28_0001193125-16-441831_d106822d485bpos.htm,"Mondelez International, Inc., Class A",12422359,520124171
2016-01-28,2016-01-28_0001193125-16-441831_d106822d485bpos.htm,Costco Wholesale Corp.,3388208,489833231
2016-01-28,2016-01-28_0001193125-16-441831_d106822d485bpos.htm,"Priceline Group, Inc. (The)",390913,483504653
2016-01-28,2016-01-28_0001193125-16-441831_d106822d485bpos.htm,Express Scripts Holding Co.,5209602,421769378
2016-01-28,2016-01-28_0001193125-16-441831_d106822d485bpos.htm,"Texas Instruments, Inc.",7912960,391849779
2016-01-28,2016-01-28_0001193125-16-441831_d106822d485bpos.htm,"Regeneron Pharmaceuticals, Inc.",784433,364871166
2016-01-28,2016-01-28_0001193125-16-441831_d106822d485bpos.htm,"Netflix, Inc.",3284350,339141981
2016-01-28,2016-01-28_0001193125-16-441831_d106822d485bpos.htm,"Adobe Systems, Inc.",3836599,315445170
2016-01-28,2016-01-28_0001193125-16-441831_d106822d485bpos.htm,"Cognizant Technology Solutions Corp., Class A",4699256,294220418
2016-01-28,2016-01-28_0001193125-16-441831_d106822d485bpos.htm,"Baidu, Inc. ADR",2136051,293514768
2016-01-28,2016-01-28_0001193125-16-441831_d106822d485bpos.htm,"Automatic Data Processing, Inc.",3591161,288585698
2016-01-28,2016-01-28_0001193125-16-441831_d106822d485bpos.htm,"Alexion Pharmaceuticals, Inc.",1743648,272689111
2016-01-28,2016-01-28_0001193125-16-441831_d106822d485bpos.htm,"Twenty-First Century Fox, Inc., Class A",9412884,253959610
2016-01-28,2016-01-28_0001193125-16-441831_d106822d485bpos.htm,Avago Technologies Ltd.,2002478,250329775
2016-01-28,2016-01-28_0001193125-16-441831_d106822d485bpos.htm,"Tesla Motors, Inc.",1001095,248671998
2016-01-28,2016-01-28_0001193125-16-441831_d106822d485bpos.htm,"eBay, Inc.",9391992,229540284
2016-01-28,2016-01-28_0001193125-16-441831_d106822d485bpos.htm,"Broadcom Corp., Class A",4309699,221647820
2016-01-28,2016-01-28_0001193125-16-441831_d106822d485bpos.htm,Monster Beverage Corp.,1584387,214114059
2016-01-28,2016-01-28_0001193125-16-441831_d106822d485bpos.htm,"Yahoo!, Inc.",7257715,209820541
2016-01-28,2016-01-28_0001193125-16-441831_d106822d485bpos.htm,"American Airlines Group, Inc.",5179428,201117189
2016-01-28,2016-01-28_0001193125-16-441831_d106822d485bpos.htm,"Vertex Pharmaceuticals, Inc.",1886247,196433763
2016-01-28,2016-01-28_0001193125-16-441831_d106822d485bpos.htm,"Illumina, Inc.",1115664,196156044
2016-01-28,2016-01-28_0001193125-16-441831_d106822d485bpos.htm,"Liberty Global PLC, Series C",4715558,193432189
2016-01-28,2016-01-28_0001193125-16-441831_d106822d485bpos.htm,"O’Reilly Automotive, Inc.",766386,191596500
2016-01-28,2016-01-28_0001193125-16-441831_d106822d485bpos.htm,"Intuit, Inc.",2125366,188626232
2016-01-28,2016-01-28_0001193125-16-441831_d106822d485bpos.htm,"Activision Blizzard, Inc.",5620430,173615083
2016-01-28,2016-01-28_0001193125-16-441831_d106822d485bpos.htm,NXP Semiconductors NV,1940928,168996601
2016-01-28,2016-01-28_0001193125-16-441831_d106822d485bpos.htm,"Twenty-First Century Fox, Inc., Class B",6156154,166647089
2016-01-28,2016-01-28_0001193125-16-441831_d106822d485bpos.htm,"JD.com, Inc. ADR",6249280,162856237
2016-01-28,2016-01-28_0001193125-16-441831_d106822d485bpos.htm,"Electronic Arts, Inc.",2403452,162833873
2016-01-28,2016-01-28_0001193125-16-441831_d106822d485bpos.htm,"Comcast Corp., Class A",2838708,162487646
2016-01-28,2016-01-28_0001193125-16-441831_d106822d485bpos.htm,Cerner Corp.,2660340,159513986
2016-01-28,2016-01-28_0001193125-16-441831_d106822d485bpos.htm,"Fiserv, Inc.",1808586,156641633
2016-01-28,2016-01-28_0001193125-16-441831_d106822d485bpos.htm,"Ross Stores, Inc.",3171460,153720666
2016-01-28,2016-01-28_0001193125-16-441831_d106822d485bpos.htm,"Sirius XM Holdings, Inc.",41039322,153487064
2016-01-28,2016-01-28_0001193125-16-441831_d106822d485bpos.htm,Mylan NV,3789714,152573886
2016-01-28,2016-01-28_0001193125-16-441831_d106822d485bpos.htm,"Charter Communications, Inc., Class A",863790,151897471
2016-01-28,2016-01-28_0001193125-16-441831_d106822d485bpos.htm,"PACCAR, Inc.",2736690,142773117
2016-01-28,2016-01-28_0001193125-16-441831_d106822d485bpos.htm,Western Digital Corp.,1776331,141111735
2016-01-28,2016-01-28_0001193125-16-441831_d106822d485bpos.htm,"Marriott International, Inc., Class A",2049889,139802430
2016-01-28,2016-01-28_0001193125-16-441831_d106822d485bpos.htm,"Analog Devices, Inc.",2418316,136417206
2016-01-28,2016-01-28_0001193125-16-441831_d106822d485bpos.htm,"Applied Materials, Inc.",9256131,135972564
2016-01-28,2016-01-28_0001193125-16-441831_d106822d485bpos.htm,"Paychex, Inc.",2784747,132637500
2016-01-28,2016-01-28_0001193125-16-441831_d106822d485bpos.htm,"Intuitive Surgical, Inc.",285484,131202737
2016-01-28,2016-01-28_0001193125-16-441831_d106822d485bpos.htm,"BioMarin Pharmaceutical, Inc.",1241983,130805650
2016-01-28,2016-01-28_0001193125-16-441831_d106822d485bpos.htm,"Micron Technology, Inc.",8352783,125124689
2016-01-28,2016-01-28_0001193125-16-441831_d106822d485bpos.htm,"Skyworks Solutions, Inc.",1470491,123830047
2016-01-28,2016-01-28_0001193125-16-441831_d106822d485bpos.htm,"Dollar Tree, Inc.",1809351,120611338
2016-01-28,2016-01-28_0001193125-16-441831_d106822d485bpos.htm,Altera Corp.,2331952,116784156
2016-01-28,2016-01-28_0001193125-16-441831_d106822d485bpos.htm,"Viacom, Inc., Class B",2678801,115590263
2016-01-28,2016-01-28_0001193125-16-441831_d106822d485bpos.htm,Check Point Software Technologies Ltd.,1394344,110613309
2016-01-28,2016-01-28_0001193125-16-441831_d106822d485bpos.htm,Seagate Technology PLC,2328521,104317741
2016-01-28,2016-01-28_0001193125-16-441831_d106822d485bpos.htm,"SBA Communications Corp., Class A",984633,103130460
2016-01-28,2016-01-28_0001193125-16-441831_d106822d485bpos.htm,Symantec Corp.,5274689,102698195
2016-01-28,2016-01-28_0001193125-16-441831_d106822d485bpos.htm,NVIDIA Corp.,4155453,102431916
2016-01-28,2016-01-28_0001193125-16-441831_d106822d485bpos.htm,"DISH Network Corp., Class A",1732496,101073817
2016-01-28,2016-01-28_0001193125-16-441831_d106822d485bpos.htm,Vodafone Group PLC ADR,3073459,97551589
2016-01-28,2016-01-28_0001193125-16-441831_d106822d485bpos.htm,"Verisk Analytics, Inc.",1298961,96006207
2016-01-28,2016-01-28_0001193125-16-441831_d106822d485bpos.htm,"Akamai Technologies, Inc.",1376879,95087264
2016-01-28,2016-01-28_0001193125-16-441831_d106822d485bpos.htm,"CA, Inc.",3402343,92883964
2016-01-28,2016-01-28_0001193125-16-441831_d106822d485bpos.htm,"Stericycle, Inc.",654120,91125457
2016-01-28,2016-01-28_0001193125-16-441831_d106822d485bpos.htm,Tractor Supply Co.,1047122,88293327
2016-01-28,2016-01-28_0001193125-16-441831_d106822d485bpos.htm,"Whole Foods Market, Inc.",2758981,87321749
2016-01-28,2016-01-28_0001193125-16-441831_d106822d485bpos.htm,"Liberty Interactive Corp. QVC Group, Class A",3328427,87304640
2016-01-28,2016-01-28_0001193125-16-441831_d106822d485bpos.htm,"Citrix Systems, Inc.",1239042,85840830
2016-01-28,2016-01-28_0001193125-16-441831_d106822d485bpos.htm,SanDisk Corp.,1576199,85634892
2016-01-28,2016-01-28_0001193125-16-441831_d106822d485bpos.htm,"Henry Schein, Inc.",642970,85334978
2016-01-28,2016-01-28_0001193125-16-441831_d106822d485bpos.htm,"Xilinx, Inc.",1994193,84553783
2016-01-28,2016-01-28_0001193125-16-441831_d106822d485bpos.htm,"Liberty Global PLC, Class A",1946710,83591727
2016-01-28,2016-01-28_0001193125-16-441831_d106822d485bpos.htm,Fastenal Co.,2237065,81898950
2016-01-28,2016-01-28_0001193125-16-441831_d106822d485bpos.htm,Lam Research Corp.,1219554,79673463
2016-01-28,2016-01-28_0001193125-16-441831_d106822d485bpos.htm,"Autodesk, Inc.",1743997,76980028
2016-01-28,2016-01-28_0001193125-16-441831_d106822d485bpos.htm,Linear Technology Corp.,1848452,74585038
2016-01-28,2016-01-28_0001193125-16-441831_d106822d485bpos.htm,"Bed Bath & Beyond, Inc.",1307544,74556159
2016-01-28,2016-01-28_0001193125-16-441831_d106822d485bpos.htm,"CH Robinson Worldwide, Inc.",1093300,74103874
2016-01-28,2016-01-28_0001193125-16-441831_d106822d485bpos.htm,"Expeditors International of Washington, Inc.",1458356,68615650
2016-01-28,2016-01-28_0001193125-16-441831_d106822d485bpos.htm,"NetApp, Inc.",2313598,68482501
2016-01-28,2016-01-28_0001193125-16-441831_d106822d485bpos.htm,"TripAdvisor, Inc.",1012280,63793886
2016-01-28,2016-01-28_0001193125-16-441831_d106822d485bpos.htm,"Keurig Green Mountain, Inc.",1187811,61932466
2016-01-28,2016-01-28_0001193125-16-441831_d106822d485bpos.htm,KLA-Tencor Corp.,1214541,60727050
2016-01-28,2016-01-28_0001193125-16-441831_d106822d485bpos.htm,"Liberty Media Corp., Class C",1723638,59396565
2016-01-28,2016-01-28_0001193125-16-441831_d106822d485bpos.htm,"Staples, Inc.",4961583,58199369
2016-01-28,2016-01-28_0001193125-16-441831_d106822d485bpos.htm,VimpelCom Ltd. ADR,13543534,55731642
2016-01-28,2016-01-28_0001193125-16-441831_d106822d485bpos.htm,"Mattel, Inc.",2610545,54978078
2016-01-28,2016-01-28_0001193125-16-441831_d106822d485bpos.htm,Garmin Ltd.,1472033,52816544
2016-01-28,2016-01-28_0001193125-16-441831_d106822d485bpos.htm,"Discovery Communications, Inc., Class C",2114615,51363998
2016-01-28,2016-01-28_0001193125-16-441831_d106822d485bpos.htm,"Liberty Ventures, Series A",1038474,41902426
2016-01-28,2016-01-28_0001193125-16-441831_d106822d485bpos.htm,Wynn Resorts Ltd.,782877,41586426
2016-01-28,2016-01-28_0001193125-16-441831_d106822d485bpos.htm,"Discovery Communications, Inc., Class A",1151134,29964018
2016-01-28,2016-01-28_0001193125-16-441831_d106822d485bpos.htm,"Liberty Media Corp., Class A",786912,28108497
2016-01-28,2016-01-28_0001193125-16-441831_d106822d485bpos.htm,"Liberty Global PLC LiLAC, Class C",237393,8128336
2016-01-28,2016-01-28_0001193125-16-441831_d106822d485bpos.htm,"Liberty Global PLC LiLAC, Class A",97409,3281709
2017-01-27,2017-01-27_0001193125-17-021968_d284522d485bpos.htm,"American Airlines Group, Inc.","3,713,874",135964927
2017-01-27,2017-01-27_0001193125-17-021968_d284522d485bpos.htm,"PACCAR, Inc.","2,456,587",144398184
2017-01-27,2017-01-27_0001193125-17-021968_d284522d485bpos.htm,"Tesla Motors, Inc.","1,045,899",213394773
2017-01-27,2017-01-27_0001193125-17-021968_d284522d485bpos.htm,Monster Beverage Corp.,"1,334,054",195852468
2017-01-27,2017-01-27_0001193125-17-021968_d284522d485bpos.htm,"Alexion Pharmaceuticals, Inc.","1,571,582",192581658
2017-01-27,2017-01-27_0001193125-17-021968_d284522d485bpos.htm,"Amgen, Inc.","5,244,886",874899434
2017-01-27,2017-01-27_0001193125-17-021968_d284522d485bpos.htm,"Biogen, Inc.","1,535,662",480708276
2017-01-27,2017-01-27_0001193125-17-021968_d284522d485bpos.htm,"BioMarin Pharmaceutical, Inc.","1,198,931",110925096
2017-01-27,2017-01-27_0001193125-17-021968_d284522d485bpos.htm,Celgene Corp.,"5,432,409",567849713
2017-01-27,2017-01-27_0001193125-17-021968_d284522d485bpos.htm,"Gilead Sciences, Inc.","9,248,804",731765372
2017-01-27,2017-01-27_0001193125-17-021968_d284522d485bpos.htm,"Illumina, Inc.","1,027,398",186637121
2017-01-27,2017-01-27_0001193125-17-021968_d284522d485bpos.htm,Incyte Corp.,"1,317,573",124233958
2017-01-27,2017-01-27_0001193125-17-021968_d284522d485bpos.htm,"Regeneron Pharmaceuticals, Inc.","724,539",291279169
2017-01-27,2017-01-27_0001193125-17-021968_d284522d485bpos.htm,"Vertex Pharmaceuticals, Inc.","1,736,498",151439990
2017-01-27,2017-01-27_0001193125-17-021968_d284522d485bpos.htm,"Automatic Data Processing, Inc.","3,197,100",281984220
2017-01-27,2017-01-27_0001193125-17-021968_d284522d485bpos.htm,"PayPal Holdings, Inc.","8,458,682",346552201
2017-01-27,2017-01-27_0001193125-17-021968_d284522d485bpos.htm,"Verisk Analytics, Inc.","1,184,188",96250801
2017-01-27,2017-01-27_0001193125-17-021968_d284522d485bpos.htm,"Apple, Inc.","37,765,277",4269364565
2017-01-27,2017-01-27_0001193125-17-021968_d284522d485bpos.htm,"Cognizant Technology Solutions Corp., Class A","4,253,713",202944647
2017-01-27,2017-01-27_0001193125-17-021968_d284522d485bpos.htm,"NetApp, Inc.","1,950,061",69851185
2017-01-27,2017-01-27_0001193125-17-021968_d284522d485bpos.htm,Seagate Technology PLC,"2,100,942",80991314
2017-01-27,2017-01-27_0001193125-17-021968_d284522d485bpos.htm,Western Digital Corp.,"1,992,296",116489547
2017-01-27,2017-01-27_0001193125-17-021968_d284522d485bpos.htm,Fastenal Co.,"2,025,137",84610224
2017-01-27,2017-01-27_0001193125-17-021968_d284522d485bpos.htm,"SBA Communications Corp.,   Class A","873,329",97952580
2017-01-27,2017-01-27_0001193125-17-021968_d284522d485bpos.htm,"Stericycle, Inc.","595,978",47761677
2017-01-27,2017-01-27_0001193125-17-021968_d284522d485bpos.htm,Kraft Heinz Co. (The),"8,533,999",763878250
2017-01-27,2017-01-27_0001193125-17-021968_d284522d485bpos.htm,"Mondelez International, Inc., Class A","10,901,983",478597054
2017-01-27,2017-01-27_0001193125-17-021968_d284522d485bpos.htm,"Whole Foods Market, Inc.","2,234,348",63343766
2017-01-27,2017-01-27_0001193125-17-021968_d284522d485bpos.htm,"DENTSPLY Sirona, Inc.","1,632,998",97049071
2017-01-27,2017-01-27_0001193125-17-021968_d284522d485bpos.htm,"Henry Schein, Inc.","573,244",93427307
2017-01-27,2017-01-27_0001193125-17-021968_d284522d485bpos.htm,"Intuitive Surgical, Inc.","269,678",195470705
2017-01-27,2017-01-27_0001193125-17-021968_d284522d485bpos.htm,"Alphabet, Inc., Class A","2,066,436",1661538530
2017-01-27,2017-01-27_0001193125-17-021968_d284522d485bpos.htm,"Alphabet, Inc., Class C","2,408,070",1871768730
2017-01-27,2017-01-27_0001193125-17-021968_d284522d485bpos.htm,"Amazon.com, Inc.","3,322,529",2781986757
2017-01-27,2017-01-27_0001193125-17-021968_d284522d485bpos.htm,"Baidu, Inc. ADR","1,920,530",349670897
2017-01-27,2017-01-27_0001193125-17-021968_d284522d485bpos.htm,Ctrip.com International Ltd. ADR,"2,621,894",122101604
2017-01-27,2017-01-27_0001193125-17-021968_d284522d485bpos.htm,"eBay, Inc.","7,912,746",260329343
2017-01-27,2017-01-27_0001193125-17-021968_d284522d485bpos.htm,"Expedia, Inc.","960,716",112134772
2017-01-27,2017-01-27_0001193125-17-021968_d284522d485bpos.htm,"Facebook, Inc., Class A","16,280,571",2088308842
2017-01-27,2017-01-27_0001193125-17-021968_d284522d485bpos.htm,"JD.com, Inc. ADR","6,418,656",167462735
2017-01-27,2017-01-27_0001193125-17-021968_d284522d485bpos.htm,"Liberty Ventures, Series A","947,664",37783364
2017-01-27,2017-01-27_0001193125-17-021968_d284522d485bpos.htm,"Netflix, Inc.","3,004,710",296114170
2017-01-27,2017-01-27_0001193125-17-021968_d284522d485bpos.htm,"Priceline Group, Inc. (The)","346,395",509716779
2017-01-27,2017-01-27_0001193125-17-021968_d284522d485bpos.htm,Symantec Corp.,"4,314,301",108288955
2017-01-27,2017-01-27_0001193125-17-021968_d284522d485bpos.htm,"TripAdvisor, Inc.","931,103",58827088
2017-01-27,2017-01-27_0001193125-17-021968_d284522d485bpos.htm,"Yahoo!, Inc.","6,670,541",287500317
2017-01-27,2017-01-27_0001193125-17-021968_d284522d485bpos.htm,Norwegian Cruise Line Holdings   Ltd.,"1,591,671",60005997
2017-01-27,2017-01-27_0001193125-17-021968_d284522d485bpos.htm,"Marriott International, Inc., Class A","1,782,906",120043061
2017-01-27,2017-01-27_0001193125-17-021968_d284522d485bpos.htm,"Charter Communications, Inc., Class A","1,898,722",512597978
2017-01-27,2017-01-27_0001193125-17-021968_d284522d485bpos.htm,"Comcast Corp., Class A","16,837,196",1116979583
2017-01-27,2017-01-27_0001193125-17-021968_d284522d485bpos.htm,"Discovery Communications, Inc., Class A","1,057,482",28467416
2017-01-27,2017-01-27_0001193125-17-021968_d284522d485bpos.htm,"Discovery Communications, Inc., Class C","1,671,733",43983295
2017-01-27,2017-01-27_0001193125-17-021968_d284522d485bpos.htm,"DISH Network Corp., Class A","1,586,827",86926383
2017-01-27,2017-01-27_0001193125-17-021968_d284522d485bpos.htm,"Liberty Global PLC, Class A","1,852,862",63330823
2017-01-27,2017-01-27_0001193125-17-021968_d284522d485bpos.htm,"Liberty Global PLC, Series C","4,518,834",149302275
2017-01-27,2017-01-27_0001193125-17-021968_d284522d485bpos.htm,"Sirius XM Holdings, Inc.","34,186,990",142559748
